Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp,Pass4_T3_Kills,Pass4_T2_Kills,Pass4_T1_Kills,Pass4_RssAssistance,Pass4_RssGathered,Pass4_AllianceHelp,Total_LowTier_Kills,Total_RSS_Gather,Total_Helps,Total_Assistance
42514893,WrEcK HaVoK,"74,985","508,685","672,720","462,600,000","8,217,416,820","44,086","74,985","508,685","672,720","462,600,000","8,306,783,178","44,253",,,,
9392884,educet,"59,377","482,026","1,597,190","2,130,229,919","9,729,951,216","33,823","59,377","482,026","1,597,190","2,210,229,919","9,914,792,710","34,067",,,,
60965001,IJ uulHEMIlJ,"3,394,430","6,805,037","13,666,920","1,455,273,207","14,190,210,414","52,789","3,394,430","6,805,037","13,666,920","1,455,273,207","14,232,846,658","52,798",,,,
53452615,El Paquito,"91,387","268,792","532,158","8,058,482,833","13,680,908,757","24,107","129,498","399,254","610,209","8,058,482,833","13,996,592,002","25,817",,,,
28379153,Dana iw,"1,570,349","721,146","55,946,947","506,184,396","7,646,764,202","24,256","1,570,349","721,146","55,946,947","506,184,396","7,691,768,812","24,358",,,,
2616715,ARNO le NORD,"584,720","408,363","955,002","2,083,388,900","18,280,386,669","116,015","584,720","408,363","955,002","2,083,388,900","18,280,386,669","116,017",,,,
31369906,Wan Shein,"79,817","150,464","10,675","14,173,036,652","24,342,851,378","10,110","87,319","167,314","14,252","14,173,036,652","24,598,023,868","10,231",,,,
21017676,badGazzaG,"451,986","745,685","23,831,998","2,596,967,803","15,285,056,308","93,324","451,986","745,685","23,831,998","2,596,967,803","15,285,056,308","93,324",,,,
2486726,@G Senpai,"526,994","346,535","239,986","2,866,536,259","5,088,037,532","24,867","526,994","346,535","239,986","2,866,536,259","5,088,037,532","24,867",,,,
99396699,OHMadMax64,"213,799","84,688","56,573","379,348,649","6,091,609,546","12,004","213,799","84,688","56,573","384,348,649","6,293,652,686","12,626",,,,
12451821,Onsenffou,"238,922","1,146,050","965,728","13,682,949,136","16,237,763,580","55,498","238,922","1,146,050","1,124,053","15,781,919,830","16,423,791,067","55,690",,,,
7722826,LordNameless,"119,348","141,624","125,339","71,175,333","17,034,262,792","51,986","119,348","141,624","125,339","71,175,333","17,034,262,792","51,994",,,,
29881568,Milanok,"181,441","41,909","45,195","3,187,761,860","13,176,167,689","22,100","181,441","41,909","45,195","3,187,761,860","13,288,354,052","22,129",,,,
15168136,SZ LUFFY SZ,"61,218","71,515","153,963","23,788,946,512","18,599,202,640","26,204","61,218","71,515","153,963","24,468,946,512","18,862,685,584","26,302",,,,
28481843,budluckTR2,"839,190","359,256","173,907","9,384,117,293","18,408,303,082","36,738","839,190","359,256","173,907","9,829,117,293","18,451,615,498","36,745",,,,
2524989,Huracan88&,"299,769","258,766","311,854","1,322,996,989","8,312,741,017","23,674","303,076","258,766","311,854","1,322,996,989","8,319,022,495","24,449",,,,
52610162,PrincipalAnd,"41,451","49,239","149,916","31,294,000","1,959,436,650","17,786","41,451","49,239","149,916","31,294,000","1,959,436,650","17,787",,,,
37026347,Nurse Q,"712,561","671,211","893,537","7,674,173,708","11,578,598,289","31,530","712,561","671,211","893,544","8,679,173,708","11,827,584,580","31,750",,,,
